Shloka,EngMeaning
"धृतराष्ट्र उवाच |
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ||१-१||","1.1 Dhritarashtra said  What did my people and the sons of Pandu do when they had assembled
together eager for battle on the holy plain of Kurukshetra, O Sanjaya."
"सञ्जय उवाच |
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा |
आचार्यमुपसंगम्य राजा वचनमब्रवीत् ||१-२||","1.2. Sanjaya said  Having seen the army of the Pandavas drawn up in battle-array,
King Duryodhana then approached his teacher (Drona) and spoke these words."
"पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् |
व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ||१-३||","1.3. ""Behold, O Teacher! this mighty army of the sons of Pandu,
arrayed by the son of Drupada, thy wise disciple."
"अत्र शूरा महेष्वासा भीमार्जुनसमा युधि |
युयुधानो विराटश्च द्रुपदश्च महारथः ||१-४||","1.4. Here are heroes, mighty archers, eal in battle to Bhima
and Arjuna, Yoyudhana (Satyaki), Virata and Drupada, of the great car (mighty
warriors)."
"धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् |
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः ||१-५||","1.5. ""Dhrishtaketu, chekitana and the valiant king of Kasi, Purujit
and Kuntibhoja and Saibya, the best men."
"युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |
सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ||१-६||","1.6. ""The strong Yodhamanyu and the brave Uttamaujas, the son
of Subhadra (Abhimanyu, the son of Subhadra and Arjuna), and the sons of
Draupadi, all of great chariots (great heroes)."
"अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |
नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ||१-७||","1.7. ""Know also, O best among the twice-born! the names of those
who are the most distinguished amongst ourselves, the leaders of my army;
these I name to thee for thy information."
"भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः |
अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ||१-८||","1.8. ""Thyself and Bhishma, and Karna and also Kripa, the victorious
in war, Asvatthama, Vikarna, and also Bhurisrava, the son of Somadatta."
"अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः |
नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ||१-९||","1.9. ""And also many other heroes who are ready to give up their
lives for my sake, armed with various weapons and missiles, all well-skilled
in battle."
"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |
पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ||१-१०||","1.10. ""This army of ours marshalled by Bhishma is insufficient,
whereas that army of theirs marshelled by Bhima is sufficient."
"अयनेषु च सर्वेषु यथाभागमवस्थिताः |
भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ||१-११||","1.11. ""Therefore do ye all, stationed in your respective positions,
in the several divisions of the army, protect Bhishma alone."""
"तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः |
सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् ||१-१२||","1.12. His glorious grandsire (Bhishma), the oldest of the Kauravas,
in order to cheer Duryodhana, now roared like a lion, and blew his conch."
"ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः |
सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ||१-१३||","1.13. Then (following Bhishma), conches and kettledrums, tabors,
drums and cow horns blared forth ite suddenly (from the Kaurava side)
and the sound was tremendous."
"ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ |
माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ||१-१४||","1.14. Then, also, Madhava (Krishna) and the son of Pandu (Arjuna),
seated in the magnificent chariot, yoked with white horses, blew divine
conches."
"पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः |
पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ||१-१५||","1.15. Hrishikesha blew the Panchajanya and Arjuna blew the Devadatta
and Bhima (the wolf-bellied), the doer of terrible deeds, blew the great
conch Paundra."
"अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः |
नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ||१-१६||","1.16. The king Yodhishthira, the son of Kunti, blew the Anantavijaya;
Nakula and Sahadeva blew the Sughosha and the Manipushpaka."
"काश्यश्च परमेष्वासः शिखण्डी च महारथः |
धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ||१-१७||","1.17. The king of Kasi, an exellent archer, Sikhandi, the mighty
car-warrior, Dhrishtadyumna and Virata and Satyaki, the unconered."
"द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते |
सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् ||१-१८||","1.18. Drupada and the sons of Draupadi, O Lord of the earth, and
the son of Subhadra, the mighty-armed, blew their conches separately."
"स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् |
नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् (or लोव्यनु) ||१-१९||","1.19. That tumultuous sound rent the hearts of (the members of)
Dhritarashtra's party, making both the heaven and the earth resound."
"अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः |
प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः |
हृषीकेशं तदा वाक्यमिदमाह महीपते ||१-२०||","1.20. Then, seeing the people of Dhritarashtra’s party standing
arrayed and the discharge of weapons about to begin, Arjuna, the son of
Pandu, whose ensign was a monkey, took up his bow and said the following
to Krishna, O Lord of the earth."
"अर्जुन उवाच |
सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ||१-२१||","1.21 Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence."
"यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |
कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ||१-२२||","1.22. Arjuna said  In the middle between the two armies, place my chariot,
O krishna, so that I may behold those who stand here desirous to fight,
and know with whom I must fight, when the battle is about to commence."
